indexDate;indexValue;changeRateVormonat;changeRateVorjahresmonat
Mai 13;1041.4;0.1;-0.5
Jun 13;1042.5;0.1;-0.1
Jul 13;1038.7;-0.4;0
Aug 13;1038;-0.1;0
Sep 13;1041.1;0.3;-0.1
Okt 13;1040.3;-0.1;-0.3
Nov 13;1040.4;0;0.1
Dez 13;1038;-0.2;0.1
Jan 14;1035.2;-0.3;0.1
Feb 14;1036.2;0.1;-0.1
Mär 14;1040;0.4;0
Apr 14;1040.7;0.1;0
Mai 14;1043.7;0.3;0.2
Jun 14;1043;-0.1;0
Jul 14;1039.1;-0.4;0
Aug 14;1038.7;0;0.1
Sep 14;1040.2;0.1;-0.1
Okt 14;1040.2;0;0
Nov 14;1039.8;0;-0.1
Dez 14;1034.6;-0.5;-0.3
Jan 15;1030.2;-0.4;-0.5
Feb 15;1027.5;-0.3;-0.8
Mär 15;1030.9;0.3;-0.9
Apr 15;1029;-0.2;-1.1
Mai 15;1031.4;0.2;-1.2
Jun 15;1032.1;0.1;-1
Jul 15;1025.8;-0.6;-1.3
Aug 15;1024.2;-0.2;-1.4
Sep 15;1025.2;0.1;-1.4
Okt 15;1026;0.1;-1.4
Nov 15;1025.3;-0.1;-1.4
Dez 15;1021.1;-0.4;-1.3
Jan 16;1017.1;-0.4;-1.3
Feb 16;1019;0.2;-0.8
Mär 16;1022;0.3;-0.9
Apr 16;1025.4;0.3;-0.4
Mai 16;1026.9;0.1;-0.4
Jun 16;1028.3;0.1;-0.4
Jul 16;1023.7;-0.4;-0.2
Aug 16;1022.7;-0.1;-0.1
Sep 16;1023.3;0.1;-0.2
Okt 16;1023.8;0.1;-0.2
Nov 16;1021.8;-0.2;-0.3
Dez 16;1021;-0.1;0
Jan 17;1020.7;0;0.3
Feb 17;1025.6;0.5;0.6
Mär 17;1027.8;0.2;0.6
Apr 17;1029.9;0.2;0.4
Mai 17;1031.8;0.2;0.5
Jun 17;1030.3;-0.1;0.2
Jul 17;1027.1;-0.3;0.3
Aug 17;1027.4;0;0.5
Sep 17;1030;0.2;0.7
Okt 17;1030.6;0.1;0.7
Nov 17;1029.9;-0.1;0.8
Dez 17;1029.6;0;0.8
Jan 18;1028.2;-0.1;0.7
Feb 18;1032;0.4;0.6
